DBUID,24hr_trip_count_August_2018
35201939017,69
35201939018,587
35201939019,725
35201940001,725
35201940002,431
35201940003,138
35201940004,138
35201940005,138
35201940006,138
35201940009,725
35201950001,717
35201950002,717
35201950003,717
35202057004,869
35202057005,869
35202059002,1167
35202059003,1167
35202065005,880
35202065007,1167
35202066002,670
35202066003,1151
35202157025,2228
35202071005,1377
35202072001,1095
35202072002,1095
35202072003,1115
35202072004,1115
35202075001,687
35202075002,893
35202075003,456
35202078001,672
35202159018,0
35202159019,992
35202159022,202
35202159023,1038
35202159024,1038
35202321005,1202
35202322001,1195
35202322002,1195
35202323001,1090
35202159029,92
35202159030,1738
35202323005,1195
35202324001,959
35202324002,389
35202324003,1185
35202324004,1065
35202324005,1195
35202324006,389
35202325001,562
35202325002,173
35202325003,173
35202325004,173
35202325005,562
35202325006,173
35202325007,562
35202325008,562
35202326001,173
35202326002,173
35202326003,173
35202327001,173
35202327002,173
35202327003,173
35202328001,173
35202328002,400
35202328003,173
35202336001,400
35202337004,364
35202338001,358
35202338002,400
35202338003,400
35202339001,746
35202340003,2122
35202340004,290
35202454001,339
35202454002,793
35202454003,339
35202454004,339
35202455001,339
35202455002,793
35202455003,793
35202456001,339
35202456002,339
35202456003,339
35202457001,339
35202457002,339
35202457003,339
35202457004,339
35202458001,339
35202458002,339
35202458004,339
35202459001,761
35203315005,393
35203316001,393
35203316002,393
35203316003,393
35203317001,393
35203317002,0
35203317003,393
35203318002,0
35203318003,393
35203414001,623
35203318004,0
35203321001,393
35203321002,393
35203321003,393
35203321004,393
35203414002,607
35203414003,607
35203414004,155
35203415001,823
35203415002,839
35203415003,839
35203415004,839
35203416001,895
35203416002,895
35203416003,866
35203416004,623
35203417001,895
35203417002,767
35203417003,767
35203418001,668
35203418002,668
35203418003,668
35203418004,823
35203419003,895
35203544006,992
35203544007,613
35203552002,865
35203552003,613
35203554001,1462
35203554002,662
35203554003,662
35203561002,833
35203561003,801
35203566002,662
35201609002,639
35201609003,427
35203566003,662
35203566005,932
35203566007,662
35203566008,584
35203566009,651
35203566011,270
35201614002,179
35201615001,179
35201615002,179
35201615003,179
35201707003,600
35201707004,600
35201615005,179
35201616001,229
35201616002,179
35201616003,317
35201616004,179
35201617001,179
35201620001,138
35201620002,229
35201620003,138
35201621001,229
35201622001,264
35201622002,264
35201708006,600
35201709001,153
35201709002,153
35201709003,153
35201709004,153
35201710001,634
35201710002,634
35201710003,153
35201710004,153
35201711001,461
35201711002,644
35201711003,153
35201712001,896
35201712002,461
35201712003,461
35201713003,644
35201713004,859
35201714003,743
35201714004,821
35201717005,924
35201717006,923
35201718001,625
35201829003,948
35201830001,611
35201830002,352
35201830003,352
35201831001,611
35201831002,611
35201831003,483
35201832001,467
35201832002,467
35201833001,948
35201834001,467
35201834002,467
35201835001,657
35201838001,596
35201950004,725
35201950006,725
35201950008,725
35201950009,725
35201951001,130
35201951002,130
35201951003,130
35201951004,130
35201952001,0
35201952002,130
35201953001,587
35201953002,587
35201953003,336
35201955001,725
35201955010,717
35201955011,725
35202067001,447
35202071001,910
35202071003,1095
35202079001,670
35202080001,670
35202080002,1496
35202084001,1496
35202085001,1498
35202086001,672
35202087001,1454
35202087002,1413
35202087003,1496
35202088004,1413
35202089001,1413
35202090004,1413
35202090009,1413
35202090015,1413
35202090016,1413
35202091001,679
35202091002,679
35202091003,826
35202091004,826
35202091005,826
35202091007,679
35202091008,1413
35202091009,679
35202159031,2298
35202159032,1038
35202159033,1038
35202160001,83
35202160002,83
35202160003,762
35202160004,762
35202160005,762
35202160006,762
35202160007,762
35202336002,400
35202337001,358
35202337002,358
35202337003,358
35202161001,762
35202161002,1469
35202161003,1054
35202161004,1318
35202161005,1318
35202161006,1318
35202161007,1318
35202161008,1469
35202162001,762
35202162002,762
35202162003,1318
35202340005,2253
35202341001,1480
35202341002,1196
35202341003,1196
35202341004,797
35202341005,400
35202342001,2295
35202342002,1196
35202343001,2426
35202343002,2295
35202343003,2295
35202343004,1567
35202344001,2295
35202344002,2295
35202344003,2426
35202345001,2253
35202346003,2253
35202347001,2253
35202347002,2253
35202459002,339
35202348001,2253
35202348002,2253
35202348003,2253
35202459003,235
35202459004,865
35202460001,761
35202460002,761
35202460003,761
35202460004,761
35202461002,761
35202461004,761
35202462001,761
35202462002,1741
35202466002,761
35202466003,498
35202466004,761
35202466010,1398
35202606007,785
35202467001,808
35203322001,560
35203322002,393
35203322003,393
35203322004,393
35203323002,560
35203323003,1015
35203323004,0
35203419004,668
35203323005,393
35203324003,622
35203324004,622
35203420001,668
35203420002,668
35203420003,668
35203420004,668
35203420005,668
35203420006,668
35203421001,668
35203422001,232
35203422002,387
35203422003,387
35203422004,387
35203423001,387
35203423002,387
35203423003,387
35203427001,1190
35203427002,1249
35203566016,270
35203566017,475
35203566018,932
35203567001,584
35203567002,992
35203567004,992
35203567005,992
35203568001,856
35203568002,856
35201615004,179
35203568003,651
35203568004,584
35203569001,462
35203569002,651
35203569003,651
35203569004,651
35203569005,856
35203570001,270
35203570002,270
35201622003,264
35201622004,355
35201622005,355
35201712004,163
35201713001,684
35201713002,896
35201623001,355
35201624001,126
35201625001,126
35201625002,195
35201626001,264
35201626002,264
35201626003,264
35201627001,126
35201627002,126
35201629001,355
35201629002,355
35201718002,924
35201718003,626
35201718004,924
35201718005,835
35201719001,625
35201719002,772
35201719003,625
35201719004,625
35201720001,658
35201720002,933
35201720003,615
35201720004,772
35201833002,467
35201833003,657
35201722001,432
35201723001,520
35201723002,818
35201724001,520
35201724002,851
35201724003,1145
35201838002,711
35201839001,948
35201839002,596
35201839003,948
35201839004,1063
35201840001,153
35201840002,153
35201840003,211
35201840006,620
35201840007,268
35201840008,467
35201840009,467
35201841003,758
35201842001,758
35201842002,758
35201842003,758
35201842004,758
35201843001,758
35201843002,758
35201955017,717
35201955018,725
35201958004,679
35201958005,938
35201959001,679
35201959002,1413
35201960001,826
35201961001,921
35201961002,1146
35201962001,909
35201962002,909
35201962003,835
35201962004,762
35202094001,282
35202094002,282
35202094003,282
35202096001,1392
35202097003,1528
35202097013,1528
35202098002,668
35202098004,297
35202098005,668
35202098007,710
35202098008,297
35202098009,95
35202098010,297
35202098011,649
35202098013,476
35202098014,297
35202162004,1318
35202162005,835
35202162006,1128
